1,a,5,1
2,b,71,1
3,c,41,1
4,d,29,1
5,e,2,1
6,f,37,1
7,g,53,1
8,h,23,1
9,i,17,1
10,j,89,1
11,k,79,1
12,l,31,1
13,m,43,1
14,n,11,1
15,o,7,1
16,p,61,1
17,q,97,1
18,r,13,1
19,s,19,1
20,t,3,1
21,u,47,1
22,v,73,1
23,w,67,1
24,x,83,1
25,y,59,1
26,z,101,1
